Run,P[psia],T[F],F[B/D],Fgas[scf/D],Pdrop-1,Pdrop-2,Pdrop-3,Pdrop-4,Pdrop-5,Pdrop-6
32004,470,85,233,651544,-0.9,-0.2,-1.5,-0.1,-2,-0.1
32005,477,87,130,608329,-0.7,-0.2,-1,-0.1,-1.5,-0.1
32006,489,92,131,1363708,-0.8,-1,-0.5,-0.2,-2.9,-0.3
32007,488,91,131,1779416,-1.8,-1.3,-2.2,-1,-5,-1.5
32008,435,97,131,344198,-0.5,-0.3,-0.9,-0.1,-1.4,-0.5
32009,433,98,131,282284,-1.3,-0.1,-0.9,-0.1,-1.4,-0.3
32010,435,102,131,219766,-0.4,-0.3,-0.7,-0.2,-1.4,-0.4
32011,420,107,131,173545,-0.8,-0.1,-1.4,-0.2,-1.5,-0.3
32012,425,109,131,118403,-0.6,-0.6,-1,-0.6,-1.6,-0.4
32013,421,109,85,115796,-0.7,-0.4,-1.4,-0.7,-1.6,-0.4
32014,431,106,85,171136,-0.3,-0.1,-1.6,-0.6,-1.4,-0.2
32015,450,97,85,246550,-0.3,-0.1,-0.4,-0.6,-1.2,-0.4
32016,455,102,85,383687,-0.3,-0.1,-0.3,-0.6,-1.2,-0.4
32017,491,100,84,1303383,-0.5,-0.6,-0.3,-1.2,-2.4,-1.2
32018,510,100,84,1649565,-0.8,-1,-0.6,-1.5,-3.3,-1.1
